score,sentence_scores,text,error,status_code
0.999886995074634,"[{'score': 0.8759998227298929, 'sentence': 'A man has been jailed for keeping dogs for fighting at his home in Ayrshire.'}, {'score': 0.9991092098816706, 'sentence': 'Tony Barbara, 50, was sentenced to 18 months in prison after being convicted of animal cruelty.'}, {'score': 0.15412394337011226, 'sentence': ""A court hearing was told that police found several dogs at the man's home living in appalling conditions and with obvious injuries suggesting they had been used for dog fighting.""}, {'score': 0.9995243323041965, 'sentence': ""The dogs were immediately removed from the man's home and placed in the care of an animal welfare organization.""}, {'score': 0.9863436142462129, 'sentence': ""Barbara's conviction sends a clear message to society that animal cruelty will not be tolerated and those found guilty will face severe consequences.""}]","A man has been jailed for keeping dogs for fighting at his home in Ayrshire. Tony Barbara, 50, was sentenced to 18 months in prison after being convicted of animal cruelty. A court hearing was told that police found several dogs at the man's home living in appalling conditions and with obvious injuries suggesting they had been used for dog fighting. The dogs were immediately removed from the man's home and placed in the care of an animal welfare organization. Barbara's conviction sends a clear message to society that animal cruelty will not be tolerated and those found guilty will face severe consequences.",,
0.9999991141253981,"[{'score': 5.757933555172734e-06, 'sentence': ""When dining out, it's customary to leave a tip, but one extraordinary gratuity left the staff at a restaurant speechless.""}, {'score': 0.000105193376028212, 'sentence': ""A regular at Luigi's Italian restaurant, known only as Mr. Smith, left a staggering $1,000 tip on his modest $30 meal.""}, {'score': 0.9885630602843596, 'sentence': 'The staff, who had been struggling due to the economic impact of the pandemic, were overjoyed when they heard the news.'}, {'score': 0.9197032611147128, 'sentence': ""Mr. Smith's generosity not only showed his appreciation for their culinary skills but also his understanding of the difficult times they were facing.""}, {'score': 0.0, 'sentence': 'The extraordinary tip became a beacon of hope for them in their struggle.'}]","When dining out, it's customary to leave a tip, but one extraordinary gratuity left the staff at a restaurant speechless. A regular at Luigi's Italian restaurant, known only as Mr. Smith, left a staggering $1,000 tip on his modest $30 meal. The staff, who had been struggling due to the economic impact of the pandemic, were overjoyed when they heard the news. Mr. Smith's generosity not only showed his appreciation for their culinary skills but also his understanding of the difficult times they were facing. The extraordinary tip became a beacon of hope for them in their struggle.",,
0.9999992866303025,"[{'score': 0.9010897996184324, 'sentence': 'Less than two years ago, I was sitting in the stands of a South Atlantic League baseball game, a low-level affiliate, enjoying the raw energy of young players pushing towards the big leagues.'}, {'score': 0.9921570674282251, 'sentence': 'The stadium was filled with the smell of popcorn and hot dogs, and the cheers of the crowd echoed through the evening air.'}, {'score': 0.9219548478411257, 'sentence': 'There was an incredible sense of unity among the spectators, all sharing in the collective joy and anticipation.'}, {'score': 0.6448936834357692, 'sentence': 'As I watched these young players, I could feel their passion and dedication.'}, {'score': 0.8421410804588155, 'sentence': 'It was a striking reminder of the power of dreams and the determination required to chase them.'}]","Less than two years ago, I was sitting in the stands of a South Atlantic League baseball game, a low-level affiliate, enjoying the raw energy of young players pushing towards the big leagues. The stadium was filled with the smell of popcorn and hot dogs, and the cheers of the crowd echoed through the evening air. There was an incredible sense of unity among the spectators, all sharing in the collective joy and anticipation. As I watched these young players, I could feel their passion and dedication. It was a striking reminder of the power of dreams and the determination required to chase them.",,
0.9999986525789081,"[{'score': 0.03082018486045679, 'sentence': 'On November 17, 2015, at 12:55 a.m., Michael Hopner had to abandon the tough style he had developed on the streets of Manhattan.'}, {'score': 6.970100485592656e-05, 'sentence': 'We realized that we were in a place where high-end socializing and a busy pace of life were replaced by peaceful serenity.'}, {'score': 0.008295261293222778, 'sentence': 'Michael Hopner, once a busy New Yorker, had moved to a small town in Vermont, where rolling hills and chirping birds replaced skyscrapers and car horns.'}, {'score': 0.6687860498105711, 'sentence': 'The pace of life was slower, people were friendlier, and the environment was more peaceful.'}, {'score': 0.04215679740064471, 'sentence': 'He was learning to adapt to the new lifestyle, slow down, and breathe.'}, {'score': 0.5876304689159353, 'sentence': 'It was a completely new way of life, but Michael was ready to embrace it wholeheartedly.'}]","On November 17, 2015, at 12:55 a.m., Michael Hopner had to abandon the tough style he had developed on the streets of Manhattan. We realized that we were in a place where high-end socializing and a busy pace of life were replaced by peaceful serenity. Michael Hopner, once a busy New Yorker, had moved to a small town in Vermont, where rolling hills and chirping birds replaced skyscrapers and car horns. The pace of life was slower, people were friendlier, and the environment was more peaceful. He was learning to adapt to the new lifestyle, slow down, and breathe. It was a completely new way of life, but Michael was ready to embrace it wholeheartedly.",,
0.9999989207045549,"[{'score': 0.994555250948133, 'sentence': 'A recent survey shows that more Americans would choose the internet as their sole source of news rather than television, radio, or print newspapers.'}, {'score': 0.016323275263309678, 'sentence': 'The growing preference for online news sources reflects the characteristics of the digital age, where information can be obtained instantly and conveniently.'}, {'score': 0.18910688020398936, 'sentence': 'This shift also indicates a change in demographics, with younger generations relying more heavily on the internet for news.'}, {'score': 0.8351472950654106, 'sentence': 'However, this also raises questions about the reliability of internet news, as it is often unregulated and susceptible to false information.'}, {'score': 0.9019354388561147, 'sentence': 'This highlights the necessity of media literacy and critical thinking in the context of an ever-evolving news landscape.'}]","A recent survey shows that more Americans would choose the internet as their sole source of news rather than television, radio, or print newspapers. The growing preference for online news sources reflects the characteristics of the digital age, where information can be obtained instantly and conveniently. This shift also indicates a change in demographics, with younger generations relying more heavily on the internet for news. However, this also raises questions about the reliability of internet news, as it is often unregulated and susceptible to false information. This highlights the necessity of media literacy and critical thinking in the context of an ever-evolving news landscape.",,
0.9999992459652413,"[{'score': 0.0031035671986308078, 'sentence': 'A family travels to a remote island in southern Chile.'}, {'score': 0.9975175591691512, 'sentence': 'Along the way, they try to persuade their grandparents to leave their isolated home and move to the city to live with them.'}, {'score': 6.254300760621945e-06, 'sentence': 'The grandparents are initially hesitant, cherishing their peaceful way of life and the memories they have created on the island.'}, {'score': 0.24533035767723366, 'sentence': 'However, the family points out the difficulties of their advanced age, the benefits of modern facilities, and the joy of being close to their grandchildren.'}, {'score': 0.3878275306366413, 'sentence': 'The grandparents are torn, struggling to decide between the familiar comfort of their island home and the prospect of a supportive, family-oriented life in the city.'}]","A family travels to a remote island in southern Chile. Along the way, they try to persuade their grandparents to leave their isolated home and move to the city to live with them. The grandparents are initially hesitant, cherishing their peaceful way of life and the memories they have created on the island. However, the family points out the difficulties of their advanced age, the benefits of modern facilities, and the joy of being close to their grandchildren. The grandparents are torn, struggling to decide between the familiar comfort of their island home and the prospect of a supportive, family-oriented life in the city.",,
0.8376645017007176,"[{'score': 0.0, 'sentence': 'An ad agency from Mother New York introduced the ""Momtract"", replacing flowers or cards with privileges.'}, {'score': 0.0, 'sentence': 'The advertising agency Mother New York launched a unique product: Momtract.'}, {'score': 5.5491167216814574e-12, 'sentence': 'This innovative idea, instead of traditional gifts such as flowers or cards, gives mothers the privilege of giving orders for a day.'}, {'score': 8.31798260905181e-05, 'sentence': ""It's a fun and teasing way to celebrate Mother's Day, allowing mothers to truly enjoy a day of dominance.""}, {'score': 0.00017375972216859825, 'sentence': 'Momtract gives them the freedom to make decisions and take control of everything, providing a refreshing change from their usual daily routine.'}, {'score': 0.12358826239896759, 'sentence': 'This is a humorous yet sincere way to express gratitude for their hard work every day.'}]","An ad agency from Mother New York introduced the ""Momtract"", replacing flowers or cards with privileges. The advertising agency Mother New York launched a unique product: Momtract. This innovative idea, instead of traditional gifts such as flowers or cards, gives mothers the privilege of giving orders for a day. It's a fun and teasing way to celebrate Mother's Day, allowing mothers to truly enjoy a day of dominance. Momtract gives them the freedom to make decisions and take control of everything, providing a refreshing change from their usual daily routine. This is a humorous yet sincere way to express gratitude for their hard work every day.",,
0.9999992433810537,"[{'score': 1.7771199096738854e-06, 'sentence': 'The Australian Broadcasting Company\'s (ABC) television political discussion program ""Insiders"" is coming to Byron Bay.'}, {'score': 3.951324209161555e-06, 'sentence': 'Host Barrie Cassidy will lead a panel of experts in a rigorous discussion exploring the latest developments in Australian politics.'}, {'score': 0.9823096067723068, 'sentence': 'The panel will include prominent political analysts, journalists, and former politicians, who will delve into topics such as climate change policy, the upcoming election, and the overall political atmosphere in Australia.'}, {'score': 0.9976027560250321, 'sentence': 'The audience will also have the opportunity to participate in the discussion, ask questions, and contribute their insights.'}, {'score': 0.87700168985531, 'sentence': 'It promises to be a thought-provoking and engaging evening for anyone interested in Australian politics.'}]","The Australian Broadcasting Company's (ABC) television political discussion program ""Insiders"" is coming to Byron Bay. Host Barrie Cassidy will lead a panel of experts in a rigorous discussion exploring the latest developments in Australian politics. The panel will include prominent political analysts, journalists, and former politicians, who will delve into topics such as climate change policy, the upcoming election, and the overall political atmosphere in Australia. The audience will also have the opportunity to participate in the discussion, ask questions, and contribute their insights. It promises to be a thought-provoking and engaging evening for anyone interested in Australian politics.",,
0.9999988939838875,"[{'score': 0.9968014414209545, 'sentence': 'Washington D.C., July 31, 2018/3:01 PM - The Washington Metropolitan Area Transit Authority has faced criticism for its recent decision to discontinue late-night service, with many arguing that it will disproportionately affect low-income workers who rely on public transportation.'}, {'score': 0.37959576595742917, 'sentence': 'Activists and community leaders have expressed their concerns, noting that many workers in the service industry, healthcare, and other fields often have irregular work schedules.'}, {'score': 0.3151208625419063, 'sentence': 'They argue that the service cuts will not only be an inconvenience but also potentially jeopardize their jobs.'}, {'score': 0.5933582547998124, 'sentence': 'The authority has yet to respond to these criticisms and is expected to review the decision.'}]","Washington D.C., July 31, 2018/3:01 PM - The Washington Metropolitan Area Transit Authority has faced criticism for its recent decision to discontinue late-night service, with many arguing that it will disproportionately affect low-income workers who rely on public transportation. Activists and community leaders have expressed their concerns, noting that many workers in the service industry, healthcare, and other fields often have irregular work schedules. They argue that the service cuts will not only be an inconvenience but also potentially jeopardize their jobs. The authority has yet to respond to these criticisms and is expected to review the decision.",,
0.9999992790389749,"[{'score': 0.0, 'sentence': 'Can drainage pipes resolve water conflicts?'}, {'score': 5.098144129078719e-12, 'sentence': 'How can we bring more water into the Republican River?'}, {'score': 0.0, 'sentence': 'Is it as simple as installing drainage pipes?'}, {'score': 0.00026566737428046494, 'sentence': 'These questions have sparked debate among environmentalists, engineers, and local authorities.'}, {'score': 0.00012673812279129226, 'sentence': 'Unlike traditional irrigation methods, drainage pipes may redirect water to where it is needed most, reducing conflicts over water rights.'}, {'score': 0.9915473821326289, 'sentence': 'However, the feasibility and environmental impact of this solution remain to be studied.'}, {'score': 0.9696898091562536, 'sentence': 'The challenge is to ensure a sustainable solution that respects the ecosystem and the rights of all parties involved.'}]","Can drainage pipes resolve water conflicts? How can we bring more water into the Republican River? Is it as simple as installing drainage pipes? These questions have sparked debate among environmentalists, engineers, and local authorities. Unlike traditional irrigation methods, drainage pipes may redirect water to where it is needed most, reducing conflicts over water rights. However, the feasibility and environmental impact of this solution remain to be studied. The challenge is to ensure a sustainable solution that respects the ecosystem and the rights of all parties involved.",,
