score,sentence_scores,text
0.999976576262431,"[{'score': 0.10854353545577955, 'sentence': 'A man has been jailed for keeping dogs for fighting at his home in Ayrshire .'}, {'score': 0.4846809186921701, 'sentence': 'Tony Barbara , 50 , was sentenced to 18 months in prison after being found guilty of animal cruelty offences.'}, {'score': 0.0015672782779655448, 'sentence': 'The court heard that police discovered multiple dogs in appalling conditions, with visible injuries suggesting they had been used for dog fighting.'}, {'score': 0.9950220708619312, 'sentence': 'The dogs were immediately removed from the property and placed into the care of animal welfare organisations.'}, {'score': 0.9919905979294278, 'sentence': ""Barbara's conviction sends a clear message that animal cruelty will not be tolerated and those found guilty will face serious consequences.""}]","A man has been jailed for keeping dogs for fighting at his home in Ayrshire . Tony Barbara , 50 , was sentenced to 18 months in prison after being found guilty of animal cruelty offences. The court heard that police discovered multiple dogs in appalling conditions, with visible injuries suggesting they had been used for dog fighting. The dogs were immediately removed from the property and placed into the care of animal welfare organisations. Barbara's conviction sends a clear message that animal cruelty will not be tolerated and those found guilty will face serious consequences."
0.9954106660185809,"[{'score': 2.397347598215305e-07, 'sentence': ""It 's customary to leave a tip when eating out , but one particular gratuity added to an order for takeout left the restaurant staff in complete disbelief.""}, {'score': 0.0344640517007091, 'sentence': ""A regular customer at Luigi's Italian Bistro, known only as Mr. Smith, left a staggering $1,000 tip on his modest $30 meal.""}, {'score': 0.06712725942397613, 'sentence': 'The staff, who were struggling due to the economic impact of the pandemic, were overjoyed.'}, {'score': 0.388847131101553, 'sentence': ""Mr. Smith's generous act not only showed his appreciation for their culinary skills but also his understanding of the tough times they were facing.""}, {'score': 0.0, 'sentence': 'This extraordinary tip became a beacon of hope amidst their struggles.'}]","It 's customary to leave a tip when eating out , but one particular gratuity added to an order for takeout left the restaurant staff in complete disbelief. A regular customer at Luigi's Italian Bistro, known only as Mr. Smith, left a staggering $1,000 tip on his modest $30 meal. The staff, who were struggling due to the economic impact of the pandemic, were overjoyed. Mr. Smith's generous act not only showed his appreciation for their culinary skills but also his understanding of the tough times they were facing. This extraordinary tip became a beacon of hope amidst their struggles."
0.9984972009752299,"[{'score': 0.13401794207697193, 'sentence': 'Less than two years ago , I was seated at a South Atlantic League baseball game ( low A ball ), relishing the raw energy of young hopefuls aiming to make their mark in the big leagues.'}, {'score': 0.9216102260757009, 'sentence': 'The stadium was filled with the aroma of popcorn and hotdogs, the cheers of the crowd echoing in the evening air.'}, {'score': 0.9949626868703567, 'sentence': 'There was an incredible sense of camaraderie among the spectators, sharing in the collective joy and anticipation.'}, {'score': 0.060880019725419676, 'sentence': 'As I watched these young players, their passion and dedication were palpable.'}, {'score': 0.9837490125828111, 'sentence': 'It was a stark reminder of the power of dreams and the determination it takes to chase them.'}]","Less than two years ago , I was seated at a South Atlantic League baseball game ( low A ball ), relishing the raw energy of young hopefuls aiming to make their mark in the big leagues. The stadium was filled with the aroma of popcorn and hotdogs, the cheers of the crowd echoing in the evening air. There was an incredible sense of camaraderie among the spectators, sharing in the collective joy and anticipation. As I watched these young players, their passion and dedication were palpable. It was a stark reminder of the power of dreams and the determination it takes to chase them."
0.0026907620573402014,"[{'score': 0.0, 'sentence': 'November 17 , 2015 12:55 a.m. Michael Hoeppner had to shed his Manhattan street manners .'}, {'score': 1.3426035838648431e-08, 'sentence': 'We realized we were in a place where the high life hustle was replaced with a serene calmness.'}, {'score': 0.0740818869252563, 'sentence': 'Michael Hoeppner, once a busy New Yorker, had now moved to a small town in Vermont, trading skyscrapers for rolling hills and honking horns for chirping birds.'}, {'score': 0.0017190358819577645, 'sentence': 'The pace was slower, the people kinder, and the environment more peaceful.'}, {'score': 0.3860419230462573, 'sentence': 'He was learning to adjust, to slow down, to breathe.'}, {'score': 0.016404017284795014, 'sentence': 'It was a completely new lifestyle, but Michael was ready to embrace it wholeheartedly.'}]","November 17 , 2015 12:55 a.m. Michael Hoeppner had to shed his Manhattan street manners . We realized we were in a place where the high life hustle was replaced with a serene calmness. Michael Hoeppner, once a busy New Yorker, had now moved to a small town in Vermont, trading skyscrapers for rolling hills and honking horns for chirping birds. The pace was slower, the people kinder, and the environment more peaceful. He was learning to adjust, to slow down, to breathe. It was a completely new lifestyle, but Michael was ready to embrace it wholeheartedly."
0.9999969000763439,"[{'score': 0.08488959601537316, 'sentence': 'A new poll reveals that more Americans would choose the Internet as their only news source than TV , radio , or print newspapers.'}, {'score': 0.00034145841866795035, 'sentence': 'The rising preference for online news sources is reflective of the digital age, where information is accessed instantly and conveniently.'}, {'score': 0.001804306545162837, 'sentence': 'This shift also indicates a changing demographic, with younger generations relying more heavily on the Internet for news.'}, {'score': 0.9928973667403433, 'sentence': 'However, it also raises questions about the reliability of news on the Internet, as it is often unregulated and susceptible to misinformation.'}, {'score': 0.015576516708273092, 'sentence': 'It underscores the need for media literacy and critical thinking in the face of the evolving news landscape.'}]","A new poll reveals that more Americans would choose the Internet as their only news source than TV , radio , or print newspapers. The rising preference for online news sources is reflective of the digital age, where information is accessed instantly and conveniently. This shift also indicates a changing demographic, with younger generations relying more heavily on the Internet for news. However, it also raises questions about the reliability of news on the Internet, as it is often unregulated and susceptible to misinformation. It underscores the need for media literacy and critical thinking in the face of the evolving news landscape."
0.699531124483866,"[{'score': 6.17946116499013e-09, 'sentence': 'A family travels to a remote island in southern Chile .'}, {'score': 0.048389047570041366, 'sentence': 'In the trip they try to convince the grandparents to leave their isolated home and move in with them back in the city.'}, {'score': 9.062681716187626e-10, 'sentence': ""The grandparents are initially resistant, cherishing their serene lifestyle and the memories they've made on the island.""}, {'score': 0.02223947821579597, 'sentence': 'However, the family presents the difficulties of their advanced age, the benefits of modern amenities, and the joy of being close to their grandchildren.'}, {'score': 0.4453514367595932, 'sentence': 'The grandparents are torn, struggling to make a decision between the familiar comfort of their island home and the prospect of a supportive, family-oriented life in the city.'}]","A family travels to a remote island in southern Chile . In the trip they try to convince the grandparents to leave their isolated home and move in with them back in the city. The grandparents are initially resistant, cherishing their serene lifestyle and the memories they've made on the island. However, the family presents the difficulties of their advanced age, the benefits of modern amenities, and the joy of being close to their grandchildren. The grandparents are torn, struggling to make a decision between the familiar comfort of their island home and the prospect of a supportive, family-oriented life in the city."
0.844740442603814,"[{'score': 0.0, 'sentence': 'The Momtract by agency Mother New York gives bossing privileges Instead of flowers or cards .'}, {'score': 0.0, 'sentence': 'Ad agency Mother New York launched a unique product: The Momtract.'}, {'score': 0.0, 'sentence': 'This innovative idea, instead of traditional gifts like flowers or cards, gifts mothers with bossing privileges for a day.'}, {'score': 0.9122578522993503, 'sentence': ""It's a fun, tongue-in-cheek approach to celebrating motherhood, allowing moms to truly enjoy a day of being in charge.""}, {'score': 5.703215677499429e-12, 'sentence': 'The Momtract gives them the freedom to make decisions and call the shots, providing a refreshing change from their usual daily duties.'}, {'score': 0.976531387669221, 'sentence': ""It's a humorous yet heartfelt way to show appreciation for the hard work they put in every day.""}]","The Momtract by agency Mother New York gives bossing privileges Instead of flowers or cards . Ad agency Mother New York launched a unique product: The Momtract. This innovative idea, instead of traditional gifts like flowers or cards, gifts mothers with bossing privileges for a day. It's a fun, tongue-in-cheek approach to celebrating motherhood, allowing moms to truly enjoy a day of being in charge. The Momtract gives them the freedom to make decisions and call the shots, providing a refreshing change from their usual daily duties. It's a humorous yet heartfelt way to show appreciation for the hard work they put in every day."
0.8868881332033056,"[{'score': 0.0, 'sentence': 'ABC TV political discussion program Insiders is coming to Byron Bay .'}, {'score': 1.3965051337549994e-11, 'sentence': 'Host Barrie Cassidy will guide a visiting panel of experts through a rigorous discussion on the latest in Australian politics.'}, {'score': 0.0592698838245449, 'sentence': 'The panel will include prominent political analysts, journalists, and former politicians.'}, {'score': 0.861329662240692, 'sentence': 'They will delve into topics such as climate change policies, the upcoming elections, and the overall political climate in Australia.'}, {'score': 0.8119269202690987, 'sentence': 'The audience will also have the opportunity to engage in the discussion, raising questions and contributing their perspectives.'}, {'score': 0.9594168032936636, 'sentence': 'This promises to be a thought-provoking and engaging evening for all those interested in Australian politics.'}]","ABC TV political discussion program Insiders is coming to Byron Bay . Host Barrie Cassidy will guide a visiting panel of experts through a rigorous discussion on the latest in Australian politics. The panel will include prominent political analysts, journalists, and former politicians. They will delve into topics such as climate change policies, the upcoming elections, and the overall political climate in Australia. The audience will also have the opportunity to engage in the discussion, raising questions and contributing their perspectives. This promises to be a thought-provoking and engaging evening for all those interested in Australian politics."
0.8559708883775303,"[{'score': 0.8975399889652976, 'sentence': 'Washington D.C. , Jul 31 , 2018 / 03:01 pm ( ) .- The Washington Metropolitan Area Transit Authority was criticized for its recent decision to discontinue late-night service, which many argued would disproportionately affect low-income workers who rely on public transportation.'}, {'score': 0.9030917481916505, 'sentence': 'Activists and community leaders voiced their concerns, pointing out that many workers in the service industry, healthcare, and other sectors often work non-traditional hours.'}, {'score': 0.5661375365040585, 'sentence': 'They argued that the cut in services would not only inconvenience them, but also potentially jeopardize their jobs.'}, {'score': 0.07393947132644085, 'sentence': 'The Authority is yet to respond to these criticisms and is expected to review the decision.'}]","Washington D.C. , Jul 31 , 2018 / 03:01 pm ( ) .- The Washington Metropolitan Area Transit Authority was criticized for its recent decision to discontinue late-night service, which many argued would disproportionately affect low-income workers who rely on public transportation. Activists and community leaders voiced their concerns, pointing out that many workers in the service industry, healthcare, and other sectors often work non-traditional hours. They argued that the cut in services would not only inconvenience them, but also potentially jeopardize their jobs. The Authority is yet to respond to these criticisms and is expected to review the decision."
0.7450069811699616,"[{'score': 0.0, 'sentence': 'Could drain tubes solve Compact conflict ?'}, {'score': 0.0, 'sentence': 'How do we get more water into the Republican River ?'}, {'score': 9.689582469718516e-12, 'sentence': 'Could it be as simple as installing drain tubes?'}, {'score': 2.7260380508487003e-08, 'sentence': 'These questions have sparked a discussion amongst environmentalists, engineers and local authorities.'}, {'score': 5.475768103924139e-05, 'sentence': ""Drain tubes, unlike traditional irrigation methods, could potentially redirect water to areas where it's needed most, thereby reducing conflicts over water rights.""}, {'score': 0.9943821243245453, 'sentence': 'However, the feasibility and environmental impact of this solution are yet to be studied.'}, {'score': 0.9166105961969278, 'sentence': 'The challenge is to ensure a sustainable solution that respects the ecosystem and the rights of all stakeholders involved.'}]","Could drain tubes solve Compact conflict ? How do we get more water into the Republican River ? Could it be as simple as installing drain tubes? These questions have sparked a discussion amongst environmentalists, engineers and local authorities. Drain tubes, unlike traditional irrigation methods, could potentially redirect water to areas where it's needed most, thereby reducing conflicts over water rights. However, the feasibility and environmental impact of this solution are yet to be studied. The challenge is to ensure a sustainable solution that respects the ecosystem and the rights of all stakeholders involved."
