score,sentence_scores,text,error
0.8560826295689374,"[{'score': 0.9322009544199309, 'sentence': 'A man has been jailed for keeping fighting dogs at his home in Ayrshire.'}, {'score': 0.9991092098816706, 'sentence': 'Tony Barbara, 50, was sentenced to 18 months in prison after being convicted of animal cruelty.'}, {'score': 0.15538799729199115, 'sentence': ""A court hearing was told that police found several dogs at the man's home living in shocking conditions, with obvious injuries that suggested they had been used for dog fighting.""}, {'score': 0.9995243323041965, 'sentence': ""The dogs were immediately removed from the man's home and placed in the care of an animal welfare organization.""}, {'score': 0.976330548059244, 'sentence': ""Barbara's conviction sends a clear message to society that animal cruelty will not be tolerated and those involved in such behavior will face severe consequences.""}]","A man has been jailed for keeping fighting dogs at his home in Ayrshire. Tony Barbara, 50, was sentenced to 18 months in prison after being convicted of animal cruelty. A court hearing was told that police found several dogs at the man's home living in shocking conditions, with obvious injuries that suggested they had been used for dog fighting. The dogs were immediately removed from the man's home and placed in the care of an animal welfare organization. Barbara's conviction sends a clear message to society that animal cruelty will not be tolerated and those involved in such behavior will face severe consequences.",
0.9999991984166098,"[{'score': 7.105427357601002e-15, 'sentence': 'When dining out, giving tips is a habit, but an unexpectedly large tip left the staff of a restaurant speechless.'}, {'score': 0.40600312754825485, 'sentence': ""Mr. Smith, a regular customer of Luigi's Italian restaurant, left a surprising $1,000 tip after only spending $30 on a meal.""}, {'score': 0.9669194518323195, 'sentence': 'The staff, who were struggling due to the economic impact of the pandemic, were overjoyed when they heard the news.'}, {'score': 0.9197032611147128, 'sentence': ""Mr. Smith's generosity not only showed his appreciation for their culinary skills but also his understanding of the difficult times they were facing.""}, {'score': 3.373570311993035e-10, 'sentence': 'The unexpected tip became a glimmer of hope for them in their struggle.'}]","When dining out, giving tips is a habit, but an unexpectedly large tip left the staff of a restaurant speechless. Mr. Smith, a regular customer of Luigi's Italian restaurant, left a surprising $1,000 tip after only spending $30 on a meal. The staff, who were struggling due to the economic impact of the pandemic, were overjoyed when they heard the news. Mr. Smith's generosity not only showed his appreciation for their culinary skills but also his understanding of the difficult times they were facing. The unexpected tip became a glimmer of hope for them in their struggle.",
0.999999290793833,"[{'score': 0.9914891637403836, 'sentence': 'Less than two years ago, I sat in the stands at a South Atlantic League baseball game, watching a low-level affiliate team play, enjoying the raw energy of young players fighting to make it to the big leagues.'}, {'score': 0.9921570674282251, 'sentence': 'The stadium was filled with the smell of popcorn and hot dogs, and the cheers of the crowd echoed through the evening air.'}, {'score': 0.9860704860120174, 'sentence': 'There was an incredible sense of unity among the spectators, all of whom were sharing in the collective joy and anticipation.'}, {'score': 0.6448936834357692, 'sentence': 'As I watched these young players, I could feel their passion and dedication.'}, {'score': 0.9833023598634154, 'sentence': 'It was a poignant reminder of the power of dreams and the determination required to pursue them.'}]","Less than two years ago, I sat in the stands at a South Atlantic League baseball game, watching a low-level affiliate team play, enjoying the raw energy of young players fighting to make it to the big leagues. The stadium was filled with the smell of popcorn and hot dogs, and the cheers of the crowd echoed through the evening air. There was an incredible sense of unity among the spectators, all of whom were sharing in the collective joy and anticipation. As I watched these young players, I could feel their passion and dedication. It was a poignant reminder of the power of dreams and the determination required to pursue them.",
0.9999978527988088,"[{'score': 4.496869699943673e-07, 'sentence': 'On November 17, 2015, at 12:55 am, Michael Hopner had to abandon the tough style he had formed on the streets of Manhattan.'}, {'score': 0.8821754269893147, 'sentence': 'He found himself in a place where high society and fast-paced life were replaced by tranquility and serenity.'}, {'score': 0.0011350839372700205, 'sentence': 'Once a busy New Yorker, Michael Hopner moved to a small town in Florida, where rolling hills and chirping birds replaced skyscrapers and car horns.'}, {'score': 0.1990259849316136, 'sentence': 'The pace of life slowed down, people became friendlier, and the environment became more peaceful.'}, {'score': 0.02339657330207867, 'sentence': 'He was learning to adapt to the new lifestyle, slowing down his pace, and breathing.'}, {'score': 0.9272096745588929, 'sentence': 'It was a completely new way of life, but Michael was ready to accept it with an open mind.'}]","On November 17, 2015, at 12:55 am, Michael Hopner had to abandon the tough style he had formed on the streets of Manhattan. He found himself in a place where high society and fast-paced life were replaced by tranquility and serenity. Once a busy New Yorker, Michael Hopner moved to a small town in Florida, where rolling hills and chirping birds replaced skyscrapers and car horns. The pace of life slowed down, people became friendlier, and the environment became more peaceful. He was learning to adapt to the new lifestyle, slowing down his pace, and breathing. It was a completely new way of life, but Michael was ready to accept it with an open mind.",
0.999998887805568,"[{'score': 0.9991870595449762, 'sentence': 'A recent survey has shown that an increasing number of Americans are choosing the internet as their sole source of news, rather than television, radio, or print newspapers.'}, {'score': 0.91537466030433, 'sentence': 'The growing popularity of online news sources reflects the characteristics of the digital age, in which information can be accessed instantly and conveniently.'}, {'score': 6.397490275655837e-05, 'sentence': 'This shift also indicates demographic changes, with younger generations relying more heavily on the internet for news.'}, {'score': 0.7356054746894944, 'sentence': 'However, this has also raised concerns about the reliability of internet news, as it often lacks regulation and is susceptible to false information.'}, {'score': 0.3120777659069621, 'sentence': 'This highlights the necessity of media literacy and critical thinking in the ever-evolving news landscape.'}]","A recent survey has shown that an increasing number of Americans are choosing the internet as their sole source of news, rather than television, radio, or print newspapers. The growing popularity of online news sources reflects the characteristics of the digital age, in which information can be accessed instantly and conveniently. This shift also indicates demographic changes, with younger generations relying more heavily on the internet for news. However, this has also raised concerns about the reliability of internet news, as it often lacks regulation and is susceptible to false information. This highlights the necessity of media literacy and critical thinking in the ever-evolving news landscape.",
0.9999992375553318,"[{'score': 0.0031035671986308078, 'sentence': 'A family travels to a remote island in southern Chile.'}, {'score': 0.9975175591691512, 'sentence': 'Along the way, they try to persuade their grandparents to leave their isolated home and move to the city to live with them.'}, {'score': 6.254300760621945e-06, 'sentence': 'The grandparents are initially hesitant, cherishing their peaceful way of life and the memories they have created on the island.'}, {'score': 0.24533035767723366, 'sentence': 'However, the family points out the difficulties of their advanced age, the benefits of modern facilities, and the joy of being close to their grandchildren.'}, {'score': 0.00020593395345214205, 'sentence': 'The grandparents are torn, struggling with whether to continue living in their familiar island home or to choose to live in the city with their family and enjoy their support.'}]","A family travels to a remote island in southern Chile. Along the way, they try to persuade their grandparents to leave their isolated home and move to the city to live with them. The grandparents are initially hesitant, cherishing their peaceful way of life and the memories they have created on the island. However, the family points out the difficulties of their advanced age, the benefits of modern facilities, and the joy of being close to their grandchildren. The grandparents are torn, struggling with whether to continue living in their familiar island home or to choose to live in the city with their family and enjoy their support.",
0.9999991749605568,"[{'score': 0.0, 'sentence': 'An advertising company in New York has launched a ""Mom Contract"" to replace flowers or cards, offering privileges.'}, {'score': 3.1417967004232494e-05, 'sentence': 'A New York advertising company has come up with a unique product called the ""Mom Contract"".'}, {'score': 0.0, 'sentence': 'This innovative idea differs from traditional gifts such as flowers or greeting cards, instead giving mothers the right to issue commands for a day.'}, {'score': 4.4246245038293e-05, 'sentence': ""It's a fun and regulatory way to celebrate Mother's Day, allowing mothers to truly take control on their special day.""}, {'score': 1.7061441880406036e-06, 'sentence': 'The ""Mom Contract"" gives them the freedom to make decisions and take control, providing a refreshing change from the daily routine.'}, {'score': 0.1412647559206044, 'sentence': ""It's a humorous and sincere way to express gratitude to all mothers for their hard work every day.""}]","An advertising company in New York has launched a ""Mom Contract"" to replace flowers or cards, offering privileges. A New York advertising company has come up with a unique product called the ""Mom Contract"". This innovative idea differs from traditional gifts such as flowers or greeting cards, instead giving mothers the right to issue commands for a day. It's a fun and regulatory way to celebrate Mother's Day, allowing mothers to truly take control on their special day. The ""Mom Contract"" gives them the freedom to make decisions and take control, providing a refreshing change from the daily routine. It's a humorous and sincere way to express gratitude to all mothers for their hard work every day.",
0.9999992856259163,"[{'score': 0.002156951860661227, 'sentence': 'The Australian Broadcasting Corporation\'s (ABC) television political discussion program ""The Insiders"" is coming to Byron Bay.'}, {'score': 0.0017481318991654504, 'sentence': 'Host Barry Cassidy will lead a panel of experts in an in-depth discussion exploring the latest developments in Australian politics.'}, {'score': 0.9842172315281786, 'sentence': 'The expert panel will include prominent political analysts, journalists, and former politicians, who will delve into topics such as climate change policy, the upcoming election, and the overall state of Australian politics.'}, {'score': 0.9976027560250321, 'sentence': 'The audience will also have the opportunity to participate in the discussion, ask questions, and contribute their insights.'}, {'score': 0.8670477432525167, 'sentence': 'It will be a thought-provoking and engaging evening suitable for anyone interested in Australian politics.'}]","The Australian Broadcasting Corporation's (ABC) television political discussion program ""The Insiders"" is coming to Byron Bay. Host Barry Cassidy will lead a panel of experts in an in-depth discussion exploring the latest developments in Australian politics. The expert panel will include prominent political analysts, journalists, and former politicians, who will delve into topics such as climate change policy, the upcoming election, and the overall state of Australian politics. The audience will also have the opportunity to participate in the discussion, ask questions, and contribute their insights. It will be a thought-provoking and engaging evening suitable for anyone interested in Australian politics.",
0.9999992388892517,"[{'score': 0.9992069388359066, 'sentence': 'On July 31, 2018, in Washington, D.C., at 3:01 p.m. - The Washington Metropolitan Area Transit Authority faced criticism for its recent decision to end late-night service, with many believing it would disproportionately affect low-income workers who rely on public transportation.'}, {'score': 0.010322130015407494, 'sentence': 'Activists and community leaders expressed their concerns, noting that many workers in the service, healthcare, and other industries often have irregular schedules.'}, {'score': 0.0001603793486717464, 'sentence': 'They argued that cutting service would not only be inconvenient but also potentially jeopardize their jobs.'}, {'score': 0.7307916771423799, 'sentence': 'The agency has yet to respond to these criticisms and is expected to review the decision.'}]","On July 31, 2018, in Washington, D.C., at 3:01 p.m. - The Washington Metropolitan Area Transit Authority faced criticism for its recent decision to end late-night service, with many believing it would disproportionately affect low-income workers who rely on public transportation. Activists and community leaders expressed their concerns, noting that many workers in the service, healthcare, and other industries often have irregular schedules. They argued that cutting service would not only be inconvenient but also potentially jeopardize their jobs. The agency has yet to respond to these criticisms and is expected to review the decision.",
0.9999992769230615,"[{'score': 2.950806881507617e-06, 'sentence': 'The question of whether drainage pipes can resolve water resource conflicts and how to bring more water into the Republican River has sparked debate among environmentalists, engineers, and local governments.'}, {'score': 0.004191488589447956, 'sentence': 'Unlike traditional irrigation methods, drainage pipes may redistribute water to where it is needed most, thereby reducing disputes over water rights.'}, {'score': 0.9458257571052061, 'sentence': 'However, the feasibility and environmental impact of this solution require further study.'}, {'score': 0.9165540854225551, 'sentence': 'The challenge lies in ensuring a sustainable solution that respects the ecosystem and the rights of all parties involved.'}, {'score': 0.001048015887280318, 'sentence': 'At the same time, it is questionable whether simply installing drainage pipes is sufficient.'}]","The question of whether drainage pipes can resolve water resource conflicts and how to bring more water into the Republican River has sparked debate among environmentalists, engineers, and local governments. Unlike traditional irrigation methods, drainage pipes may redistribute water to where it is needed most, thereby reducing disputes over water rights. However, the feasibility and environmental impact of this solution require further study. The challenge lies in ensuring a sustainable solution that respects the ecosystem and the rights of all parties involved. At the same time, it is questionable whether simply installing drainage pipes is sufficient.",
