score,sentence_scores,text,error
0.999998244418729,"[{'score': 0.0, 'sentence': 'The girl on the threshold returns, and our main characters are in very interesting relationships.'}, {'score': 2.8438362775773385e-11, 'sentence': 'Cecilia and Schmidt have finally tied the knot.'}, {'score': 0.0, 'sentence': 'Nick is in a relatively new romance with Reagan, and Winston is actually dating Eli.'}, {'score': 0.9996581350795325, 'sentence': 'So, what can we expect?'}, {'score': 0.833250006803796, 'sentence': 'Here are six things that excite us the most this season.'}, {'score': 0.9999835688992738, 'sentence': '1.'}, {'score': 0.0, 'sentence': ""We'll see more of Reagan.""}, {'score': 0.8808113957793848, 'sentence': 'If you enjoyed Megan Fox\'s appearance in the previous season of ""New Girl"", then you must be pleased that she\'s back.'}]","The girl on the threshold returns, and our main characters are in very interesting relationships. Cecilia and Schmidt have finally tied the knot. Nick is in a relatively new romance with Reagan, and Winston is actually dating Eli. So, what can we expect? Here are six things that excite us the most this season. 1. We'll see more of Reagan. If you enjoyed Megan Fox's appearance in the previous season of ""New Girl"", then you must be pleased that she's back.",
0.019556095056674105,"[{'score': 0.9975878339580764, 'sentence': 'Singer-turned-actor Kim Hyun-joong is considering a return to the small screen, his agency said Tuesday.'}, {'score': 0.01550455752036528, 'sentence': 'According to KeyEast Entertainment, Kim recently received an offer to play the lead role in the upcoming drama series ""When Time Stops,"" a 12-episode fantasy romance.'}, {'score': 0.0, 'sentence': 'He would play a time traveler living a solitary life.'}, {'score': 0.0048102433910923725, 'sentence': 'Kim has not yet decided whether to accept the offer, KeyEast said.'}, {'score': 1.3300471835009375e-12, 'sentence': 'His last screen work was the drama series ""Inspiring Generation"" in 2014.'}, {'score': 2.966993545294727e-07, 'sentence': 'A former member of idol group SS501, Kim released a single in November and held fan meetings and concerts.'}, {'score': 0.0015993401959364384, 'sentence': 'He also recently extended his contract with the agency.'}]","Singer-turned-actor Kim Hyun-joong is considering a return to the small screen, his agency said Tuesday. According to KeyEast Entertainment, Kim recently received an offer to play the lead role in the upcoming drama series ""When Time Stops,"" a 12-episode fantasy romance. He would play a time traveler living a solitary life. Kim has not yet decided whether to accept the offer, KeyEast said. His last screen work was the drama series ""Inspiring Generation"" in 2014. A former member of idol group SS501, Kim released a single in November and held fan meetings and concerts. He also recently extended his contract with the agency.",
0.9924095450274492,"[{'score': 3.40078517901965e-05, 'sentence': 'Within the framework of the LifeMedGreenRoof project, the Directorate for Standards within the Malta Competition and Consumer Affairs Authority (MCCAA) held a second stakeholder meeting to launch public consultations on a national standard for green roofs.'}, {'score': 0.9982046312290253, 'sentence': ""In line with the EU's 2020 strategy, which aims to reduce energy consumption by at least 20 percent by 2020, the European Commission's 2011 Energy Efficiency Plan identified buildings as having the greatest potential for energy savings.""}, {'score': 0.20188220747547614, 'sentence': 'The plan focuses on mechanisms to reduce energy consumption in existing buildings - particularly in public buildings - and on the role of projects in promoting energy efficiency measures.'}]","Within the framework of the LifeMedGreenRoof project, the Directorate for Standards within the Malta Competition and Consumer Affairs Authority (MCCAA) held a second stakeholder meeting to launch public consultations on a national standard for green roofs. In line with the EU's 2020 strategy, which aims to reduce energy consumption by at least 20 percent by 2020, the European Commission's 2011 Energy Efficiency Plan identified buildings as having the greatest potential for energy savings. The plan focuses on mechanisms to reduce energy consumption in existing buildings - particularly in public buildings - and on the role of projects in promoting energy efficiency measures.",
0.9999724928152741,"[{'score': 0.8490512952273438, 'sentence': 'Voter fraud has been confirmed in several states, including Mississippi.'}, {'score': 0.45813135868447685, 'sentence': ""Louisiana's top election official is warning residents about potential scams aimed at getting their personal information after similar issues arose in several other states.""}, {'score': 0.6725814546756457, 'sentence': 'The scam involves a call from a person claiming to work for a voter registration organization.'}, {'score': 0.04777312453124971, 'sentence': 'The callers offer to register residents over the phone, and in some cases, send the voter a mail-in ballot, said Secretary of State Kyle Ardoin.'}, {'score': 0.9991344224181257, 'sentence': 'According to state law, residents cannot register to vote or request a mail-in ballot over the phone.'}]","Voter fraud has been confirmed in several states, including Mississippi. Louisiana's top election official is warning residents about potential scams aimed at getting their personal information after similar issues arose in several other states. The scam involves a call from a person claiming to work for a voter registration organization. The callers offer to register residents over the phone, and in some cases, send the voter a mail-in ballot, said Secretary of State Kyle Ardoin. According to state law, residents cannot register to vote or request a mail-in ballot over the phone.",
0.999998556377051,"[{'score': 0.984051351070473, 'sentence': 'For small businesses that sell on credit, accounts receivable can make up a significant portion of the balance sheet.'}, {'score': 2.7989795285399133e-05, 'sentence': 'During an annual audit, auditors will verify that you can substantiate your claims about accounts receivable.'}, {'score': 1.1627476759201727e-10, 'sentence': 'These claims are known as assertions.'}, {'score': 9.757880611405145e-05, 'sentence': 'The most common audit procedure related to accounts receivable is confirmation, where the auditor will ask your customers to confirm their account.'}, {'score': 4.440892098500626e-16, 'sentence': 'Knowing which assertions can be proven through confirmation will help you understand why your auditor requires multiple audit procedures for the same account.'}, {'score': 0.0, 'sentence': 'Accounts receivable confirmations are primarily used to prove the existence assertion.'}]","For small businesses that sell on credit, accounts receivable can make up a significant portion of the balance sheet. During an annual audit, auditors will verify that you can substantiate your claims about accounts receivable. These claims are known as assertions. The most common audit procedure related to accounts receivable is confirmation, where the auditor will ask your customers to confirm their account. Knowing which assertions can be proven through confirmation will help you understand why your auditor requires multiple audit procedures for the same account. Accounts receivable confirmations are primarily used to prove the existence assertion.",
0.9964817809236665,"[{'score': 0.0, 'sentence': ""Rejoice that you're not Jim Furyk today.""}, {'score': 0.9999835688992738, 'sentence': '1.'}, {'score': 3.111722325954691e-05, 'sentence': 'The American team came out on Sunday with a huge four-point advantage in the Ryder Cup, and local fans were expecting another dominant day.'}, {'score': 0.9999741540893661, 'sentence': '2.'}, {'score': 0.4935122793390697, 'sentence': 'Luke Donald won the first match of the day against Bubba Watson, making the score 10-7.'}, {'score': 0.9773890378212186, 'sentence': 'Nevertheless, the US has a big advantage.'}, {'score': 0.0, 'sentence': 'However.'}, {'score': 0.9999687903958526, 'sentence': '3.'}, {'score': 0.0, 'sentence': ""Europe's Paul Lowry completely outplayed Brandt Snedeker, earning another point for Europe.""}, {'score': 0.9999658053760866, 'sentence': '4.'}, {'score': 0.001661090159751577, 'sentence': 'At least Keegan Bradley, the best player on the American team all weekend, was showing good fight against Rory McIlroy.'}]","Rejoice that you're not Jim Furyk today. 1. The American team came out on Sunday with a huge four-point advantage in the Ryder Cup, and local fans were expecting another dominant day. 2. Luke Donald won the first match of the day against Bubba Watson, making the score 10-7. Nevertheless, the US has a big advantage. However. 3. Europe's Paul Lowry completely outplayed Brandt Snedeker, earning another point for Europe. 4. At least Keegan Bradley, the best player on the American team all weekend, was showing good fight against Rory McIlroy.",
0.9999991904454364,"[{'score': 0.9978085737773398, 'sentence': ""It happens: you hit the snooze button once, twice, and then three times, so that by the time you finally get out of the shower, get dressed, and are ready to tackle the day, you're already running behind schedule.""}, {'score': 2.6836915484662605e-05, 'sentence': 'Often, this causes you to skip breakfast altogether.'}, {'score': 0.013773065573144283, 'sentence': ""It turns out that your breakfast habit is one of the time-saving steps that shouldn't be skipped.""}, {'score': 0.9644305512114107, 'sentence': 'Firstly, consuming a nutritious, high-protein, and balanced breakfast every morning is a proven way to kick-start your brain, improve concentration, and productivity.'}, {'score': 0.9970584085055881, 'sentence': 'Additionally, breakfast is associated with better weight control, as it provides your body with energy and can reduce hunger later in the day.'}]","It happens: you hit the snooze button once, twice, and then three times, so that by the time you finally get out of the shower, get dressed, and are ready to tackle the day, you're already running behind schedule. Often, this causes you to skip breakfast altogether. It turns out that your breakfast habit is one of the time-saving steps that shouldn't be skipped. Firstly, consuming a nutritious, high-protein, and balanced breakfast every morning is a proven way to kick-start your brain, improve concentration, and productivity. Additionally, breakfast is associated with better weight control, as it provides your body with energy and can reduce hunger later in the day.",
1.8818765623596079e-06,"[{'score': 0.9999962733607158, 'sentence': ""Dublin: Lawmakers voted overwhelmingly on Friday to support Ireland's first abortion bill, legalizing the practice in exceptional cases where doctors deem a woman's life to be at risk due to her pregnancy, thus taking the first legislative step away from a total ban in the predominantly Catholic country.""}, {'score': 3.917133284403462e-11, 'sentence': 'Weary lawmakers applauded the Friday vote of 127-31, while outside the parliament gates, abortion rights activists cheered, watching the result on their smartphones.'}, {'score': 4.3294368090585067e-10, 'sentence': 'This was the culmination of grueling debates that pitted lawmakers from Wednesday morning until 5 am Thursday and, after a sleep break, until midnight Friday.'}]","Dublin: Lawmakers voted overwhelmingly on Friday to support Ireland's first abortion bill, legalizing the practice in exceptional cases where doctors deem a woman's life to be at risk due to her pregnancy, thus taking the first legislative step away from a total ban in the predominantly Catholic country. Weary lawmakers applauded the Friday vote of 127-31, while outside the parliament gates, abortion rights activists cheered, watching the result on their smartphones. This was the culmination of grueling debates that pitted lawmakers from Wednesday morning until 5 am Thursday and, after a sleep break, until midnight Friday.",
0.00036437632673880227,"[{'score': 0.9923317708010176, 'sentence': 'The best Halloween costumes are inspired by the most memorable moments of the year, and 2016 was no exception.'}, {'score': 0.00027569489665468794, 'sentence': 'We had the Summer Olympics and the US presidential election, which every four years dominate the front pages of newspapers (and Facebook feeds!).'}, {'score': 5.659072592312242e-06, 'sentence': 'Add to that Beyoncé\'s visually stunning album, the hype around Pokémon Go, and the colorful, quotable chaos of the movie ""Suicide Squad"", and 2016 was practically begging for a Halloween costume boom.'}, {'score': 0.00018155826438825962, 'sentence': ""We've become experts in all things Halloween - producing content that's been viewed over a billion times.""}, {'score': 0.9999401588561855, 'sentence': ""That's where we come in.""}]","The best Halloween costumes are inspired by the most memorable moments of the year, and 2016 was no exception. We had the Summer Olympics and the US presidential election, which every four years dominate the front pages of newspapers (and Facebook feeds!). Add to that Beyoncé's visually stunning album, the hype around Pokémon Go, and the colorful, quotable chaos of the movie ""Suicide Squad"", and 2016 was practically begging for a Halloween costume boom. We've become experts in all things Halloween - producing content that's been viewed over a billion times. That's where we come in.",
0.9995268708346448,"[{'score': 0.012397298644140187, 'sentence': 'Randy Pausch passed away last Friday.'}, {'score': 0.5579316297175821, 'sentence': 'He was a professor at Carnegie Mellon University whose ""Last Lecture"" became an internet sensation, inspired a bestseller and two TV specials with Diane Sawyer.'}, {'score': 0.8174405928973092, 'sentence': 'Have you watched ""The Last Lecture"" or read the book?'}, {'score': 0.029255084437666334, 'sentence': 'Have you watched the TV specials?'}, {'score': 0.999964007651747, 'sentence': 'What do you think?'}, {'score': 0.9968654874918426, 'sentence': 'Please leave a comment and tell us.'}, {'score': 0.012397298644140187, 'sentence': 'Randy Pausch passed away last Friday.'}, {'score': 0.5579316297175821, 'sentence': 'He was a professor at Carnegie Mellon University whose ""Last Lecture"" became an internet sensation, inspired a bestseller and two TV specials with Diane Sawyer.'}, {'score': 0.8174405928973092, 'sentence': 'Have you watched ""The Last Lecture"" or read the book?'}]","Randy Pausch passed away last Friday. He was a professor at Carnegie Mellon University whose ""Last Lecture"" became an internet sensation, inspired a bestseller and two TV specials with Diane Sawyer. Have you watched ""The Last Lecture"" or read the book? Have you watched the TV specials? What do you think? Please leave a comment and tell us. Randy Pausch passed away last Friday. He was a professor at Carnegie Mellon University whose ""Last Lecture"" became an internet sensation, inspired a bestseller and two TV specials with Diane Sawyer. Have you watched ""The Last Lecture"" or read the book?",
