score,sentence_scores,text,error,status_code
0.999746390220375,"[{'score': 0.003517809326170407, 'sentence': 'New Girl is about to return, and our main characters are in very interesting places in their relationships.'}, {'score': 0.0, 'sentence': 'Cece and Schmidt have finally gotten married.'}, {'score': 0.0, 'sentence': 'Nick is in a pretty new relationship with Reagan, and Winston is practically with Aly.'}, {'score': 0.34621742798231026, 'sentence': 'So, what exactly should you be looking forward to!'}, {'score': 0.996971165858706, 'sentence': ""Here are six things we're excited about this season.""}, {'score': 0.9999835688992738, 'sentence': '1.'}, {'score': 0.06399667528357256, 'sentence': ""We're going to see more of Reagan.""}, {'score': 0.9730122691844068, 'sentence': ""If you liked Megan Fox's addition to New Girl last season, then you should be happy that she's back.""}]","New Girl is about to return, and our main characters are in very interesting places in their relationships. Cece and Schmidt have finally gotten married. Nick is in a pretty new relationship with Reagan, and Winston is practically with Aly. So, what exactly should you be looking forward to! Here are six things we're excited about this season. 1. We're going to see more of Reagan. If you liked Megan Fox's addition to New Girl last season, then you should be happy that she's back.",,
7.745173337680988e-06,"[{'score': 0.9900788715941032, 'sentence': 'The singer-turned-actor Kim Hyun-joong is considering a return to the small screen, his agency said on Tuesday.'}, {'score': 0.00012206047307095069, 'sentence': 'According to KeyEast Entertainment, Kim has recently received an offer for a lead role in the upcoming drama series ""When Time Stopped"", a 12-part romantic fantasy.'}, {'score': 0.0, 'sentence': 'He would play a time traveler who lives a lonely life.'}, {'score': 0.0048102433910923725, 'sentence': 'Kim has not yet decided whether to accept the offer, KeyEast said.'}, {'score': 1.3300471835009375e-12, 'sentence': 'His last screen work was the drama series ""Inspiring Generation"" in 2014.'}, {'score': 0.0007394133252430768, 'sentence': 'Former member of the idol group SS501, Kim released a single in November and held events and concerts for fans.'}, {'score': 0.006727123503888599, 'sentence': 'He also recently renewed his contract with the agency.'}]","The singer-turned-actor Kim Hyun-joong is considering a return to the small screen, his agency said on Tuesday. According to KeyEast Entertainment, Kim has recently received an offer for a lead role in the upcoming drama series ""When Time Stopped"", a 12-part romantic fantasy. He would play a time traveler who lives a lonely life. Kim has not yet decided whether to accept the offer, KeyEast said. His last screen work was the drama series ""Inspiring Generation"" in 2014. Former member of the idol group SS501, Kim released a single in November and held events and concerts for fans. He also recently renewed his contract with the agency.",,
0.6280428389467059,"[{'score': 0.00015077630522408736, 'sentence': 'As part of the LifeMedGreenRoof Project, the Standardization Directorate of the Malta Competition and Consumer Affairs Authority (MCCAA) has organized a second workshop to launch the public consultation on the Draft National Standard for Green Roofs.'}, {'score': 0.9667815695442646, 'sentence': ""As part of the EU's 2020 Strategy, which aims to reduce energy requirements by a minimum of 20 percent by 2020, the Commission's Energy Efficiency Plan 2011 has identified that buildings have the greatest potential for energy savings.""}, {'score': 6.750309681469169e-05, 'sentence': 'The plan focuses on mechanisms to reduce the energy requirements of existing buildings, in particular public buildings, and the role of dissemination projects in introducing energy efficiency measures.'}]","As part of the LifeMedGreenRoof Project, the Standardization Directorate of the Malta Competition and Consumer Affairs Authority (MCCAA) has organized a second workshop to launch the public consultation on the Draft National Standard for Green Roofs. As part of the EU's 2020 Strategy, which aims to reduce energy requirements by a minimum of 20 percent by 2020, the Commission's Energy Efficiency Plan 2011 has identified that buildings have the greatest potential for energy savings. The plan focuses on mechanisms to reduce the energy requirements of existing buildings, in particular public buildings, and the role of dissemination projects in introducing energy efficiency measures.",,
0.9999944091936658,"[{'score': 0.8490512952273438, 'sentence': 'Voter fraud has been confirmed in several states, including Mississippi.'}, {'score': 0.048067645938048686, 'sentence': ""Louisiana's top election official is warning residents about a potential scam to obtain sensitive information from potential voters after similar concerns in several other states.""}, {'score': 1.3890866395249724e-05, 'sentence': 'The scam involves a caller claiming to work for a voter registration assistance organization.'}, {'score': 9.59723763438447e-06, 'sentence': 'The callers offer to register residents over the phone and in some cases send the voter an absentee ballot, said Secretary of State Kyle Ardoin.'}, {'score': 0.9992256943945047, 'sentence': 'According to state law, residents cannot register to vote or request an absentee ballot over the phone.'}]","Voter fraud has been confirmed in several states, including Mississippi. Louisiana's top election official is warning residents about a potential scam to obtain sensitive information from potential voters after similar concerns in several other states. The scam involves a caller claiming to work for a voter registration assistance organization. The callers offer to register residents over the phone and in some cases send the voter an absentee ballot, said Secretary of State Kyle Ardoin. According to state law, residents cannot register to vote or request an absentee ballot over the phone.",,
0.9999989964902243,"[{'score': 0.5883270450091831, 'sentence': 'For small businesses that sell on credit, accounts receivable can constitute a substantial portion of the balance sheet.'}, {'score': 4.649786441990322e-06, 'sentence': 'During the annual audit, auditors will verify if their assertions regarding the accounts receivable balance can be proven.'}, {'score': 9.949840951151145e-11, 'sentence': 'These assertions are known as assertions.'}, {'score': 0.01233001329030825, 'sentence': 'The most common audit procedure related to accounts receivable is confirmation, in which the auditor will ask their clients to confirm their account balance.'}, {'score': 0.0, 'sentence': 'Knowing which assertions can be proven by confirmation can help you understand why your auditor requests multiple audit procedures on the same account.'}, {'score': 0.0, 'sentence': 'Accounts receivable confirmations primarily serve to prove the existence assertion.'}]","For small businesses that sell on credit, accounts receivable can constitute a substantial portion of the balance sheet. During the annual audit, auditors will verify if their assertions regarding the accounts receivable balance can be proven. These assertions are known as assertions. The most common audit procedure related to accounts receivable is confirmation, in which the auditor will ask their clients to confirm their account balance. Knowing which assertions can be proven by confirmation can help you understand why your auditor requests multiple audit procedures on the same account. Accounts receivable confirmations primarily serve to prove the existence assertion.",,
0.005944559971491459,"[{'score': 0.047311358714749785, 'sentence': ""It's a good thing you're not Jim Furyk today.""}, {'score': 0.9999835688992738, 'sentence': '1.'}, {'score': 0.002578720145123392, 'sentence': 'The American team entered Sunday with a huge four-point lead in the Ryder Cup, and the local fans were expecting to enjoy another dominant day.'}, {'score': 0.9999741540893661, 'sentence': '2.'}, {'score': 0.10203517681509111, 'sentence': 'Luke Donald won the first match of the day over Bubba Watson, to make the score 10-7.'}, {'score': 0.988843189283589, 'sentence': 'Still, the United States has a big lead.'}, {'score': 0.0, 'sentence': 'Whatever.'}, {'score': 0.9999687903958526, 'sentence': '3.'}, {'score': 0.0, 'sentence': ""Europe's Paul Lawrie swept the floor with Brandt Snedeker for another European point.""}, {'score': 0.9999658053760866, 'sentence': '4.'}, {'score': 0.20540716352633737, 'sentence': 'At least Keegan Bradley, the best player on the US team all weekend, was putting up a fight against Rory McIlroy.'}]","It's a good thing you're not Jim Furyk today. 1. The American team entered Sunday with a huge four-point lead in the Ryder Cup, and the local fans were expecting to enjoy another dominant day. 2. Luke Donald won the first match of the day over Bubba Watson, to make the score 10-7. Still, the United States has a big lead. Whatever. 3. Europe's Paul Lawrie swept the floor with Brandt Snedeker for another European point. 4. At least Keegan Bradley, the best player on the US team all weekend, was putting up a fight against Rory McIlroy.",,
0.9999581471812021,"[{'score': 0.9205458833744683, 'sentence': ""It happens: you press the snooze button once, twice, and then three times, so that when you've finally showered, dressed, and are ready to face the day, you're already running behind schedule.""}, {'score': 5.055955654142963e-13, 'sentence': 'Many times, that makes you skip breakfast altogether.'}, {'score': 0.00021140668644603622, 'sentence': ""It turns out that your breakfast habit is a time-saving measure that shouldn't be skipped.""}, {'score': 0.9902997261940724, 'sentence': 'Firstly, eating a nutritious, high-protein, and balanced breakfast every morning is a proven way to give your brain a boost, improving concentration and performance.'}, {'score': 0.9969353960569414, 'sentence': 'Additionally, breakfast is associated with better weight control, as it provides energy to your body and can reduce hunger later in the day.'}]","It happens: you press the snooze button once, twice, and then three times, so that when you've finally showered, dressed, and are ready to face the day, you're already running behind schedule. Many times, that makes you skip breakfast altogether. It turns out that your breakfast habit is a time-saving measure that shouldn't be skipped. Firstly, eating a nutritious, high-protein, and balanced breakfast every morning is a proven way to give your brain a boost, improving concentration and performance. Additionally, breakfast is associated with better weight control, as it provides energy to your body and can reduce hunger later in the day.",,
7.777917579998572e-07,"[{'score': 0.9249268338782024, 'sentence': ""Dublin: Lawmakers voted overwhelmingly on Friday to back Ireland's first abortion bill, legalizing the practice in exceptional cases where doctors deem a woman's life at risk due to her pregnancy, as the predominantly Catholic country took its first legislative step away from a total ban.""}, {'score': 3.5412092846964782e-06, 'sentence': 'Exhausted lawmakers applauded the 127-31 Friday vote, while outside the gates of parliament, pro-abortion rights activists cheered as they watched the result on their smartphones.'}, {'score': 2.898149860397492e-05, 'sentence': 'It brought an end to an exhausting debate that kept lawmakers in discussion from Wednesday morning until 5am on Thursday and, after a sleep break, until midnight on Friday.'}]","Dublin: Lawmakers voted overwhelmingly on Friday to back Ireland's first abortion bill, legalizing the practice in exceptional cases where doctors deem a woman's life at risk due to her pregnancy, as the predominantly Catholic country took its first legislative step away from a total ban. Exhausted lawmakers applauded the 127-31 Friday vote, while outside the gates of parliament, pro-abortion rights activists cheered as they watched the result on their smartphones. It brought an end to an exhausting debate that kept lawmakers in discussion from Wednesday morning until 5am on Thursday and, after a sleep break, until midnight on Friday.",,
0.0009043186652559765,"[{'score': 0.987704177382702, 'sentence': 'The best Halloween costumes are inspired by the most memorable moments of the year, and 2016 has been nothing if not memorable.'}, {'score': 0.4242941082959786, 'sentence': ""We've had the Summer Olympics and a U.S. presidential election, which dominate headlines (and Facebook timelines) every four years.""}, {'score': 3.08758102529616e-07, 'sentence': 'Add in a visually stunning Beyoncé album, the hysteria surrounding Pokémon Go, and the colorful, quotable madness of Suicide Squad, and 2016 is basically begging for a Halloween costume extravaganza.'}, {'score': 1.7607044056067167e-07, 'sentence': ""We've become experts in all things Halloween, producing over a billion page views of Halloween content.""}, {'score': 0.9999401588561855, 'sentence': ""That's where we come in.""}]","The best Halloween costumes are inspired by the most memorable moments of the year, and 2016 has been nothing if not memorable. We've had the Summer Olympics and a U.S. presidential election, which dominate headlines (and Facebook timelines) every four years. Add in a visually stunning Beyoncé album, the hysteria surrounding Pokémon Go, and the colorful, quotable madness of Suicide Squad, and 2016 is basically begging for a Halloween costume extravaganza. We've become experts in all things Halloween, producing over a billion page views of Halloween content. That's where we come in.",,
0.994947693835944,"[{'score': 0.012397298644140187, 'sentence': 'Randy Pausch passed away last Friday.'}, {'score': 0.09928635712836809, 'sentence': 'He was the Carnegie Mellon professor whose ""Last Lecture"" became an internet sensation, inspired a bestselling book and two TV specials by Diane Sawyer.'}, {'score': 0.5272119311222243, 'sentence': 'Have you seen the Last Lecture, or read the book?'}, {'score': 0.4673742559876549, 'sentence': 'Have you seen the TV specials?'}, {'score': 0.999964007651747, 'sentence': 'What do you think?'}, {'score': 0.5919331137951693, 'sentence': 'Leave a comment, letting us know.'}, {'score': 0.012397298644140187, 'sentence': 'Randy Pausch passed away last Friday.'}, {'score': 0.09928635712836809, 'sentence': 'He was the Carnegie Mellon professor whose ""Last Lecture"" became an internet sensation, inspired a bestselling book and two TV specials by Diane Sawyer.'}, {'score': 0.5272119311222243, 'sentence': 'Have you seen the Last Lecture, or read the book?'}]","Randy Pausch passed away last Friday. He was the Carnegie Mellon professor whose ""Last Lecture"" became an internet sensation, inspired a bestselling book and two TV specials by Diane Sawyer. Have you seen the Last Lecture, or read the book? Have you seen the TV specials? What do you think? Leave a comment, letting us know. Randy Pausch passed away last Friday. He was the Carnegie Mellon professor whose ""Last Lecture"" became an internet sensation, inspired a bestselling book and two TV specials by Diane Sawyer. Have you seen the Last Lecture, or read the book?",,
