score,sentence_scores,text
0.9998442613282392,"[{'score': 0.8759998227298929, 'sentence': 'A man has been jailed for keeping dogs for fighting at his home in Ayrshire.'}, {'score': 0.9994616117029006, 'sentence': 'Tony Barbara, 50, was sentenced to 18 months in prison after being found guilty of animal cruelty.'}, {'score': 0.006421689104737616, 'sentence': 'The court was told that police discovered several dogs in horrific conditions, with visible injuries consistent with being used for dog fighting.'}, {'score': 0.9988624610905982, 'sentence': 'The dogs were immediately removed from the premises and placed in the care of animal welfare organizations.'}, {'score': 0.900383184135792, 'sentence': 'The sentence handed down to Barbara clearly sends a message that animal cruelty will not be tolerated and that those found guilty will face serious consequences.'}]","A man has been jailed for keeping dogs for fighting at his home in Ayrshire. Tony Barbara, 50, was sentenced to 18 months in prison after being found guilty of animal cruelty. The court was told that police discovered several dogs in horrific conditions, with visible injuries consistent with being used for dog fighting. The dogs were immediately removed from the premises and placed in the care of animal welfare organizations. The sentence handed down to Barbara clearly sends a message that animal cruelty will not be tolerated and that those found guilty will face serious consequences."
0.9999992668549721,"[{'score': 0.11001213206678251, 'sentence': ""When you dine at a restaurant, it's customary to leave a tip, but one particular amount added to a takeout order left the restaurant staff in absolute astonishment.""}, {'score': 0.006970786258970629, 'sentence': ""A regular customer of Luigi's Italian bistro, known only as Mr. Smith, left a staggering $1,000 tip for his modest $30 meal.""}, {'score': 0.4949750207956165, 'sentence': 'The staff, who had been struggling due to the economic impact of the pandemic, were overjoyed.'}, {'score': 0.9219733734396854, 'sentence': ""Mr. Smith's generous act not only showed his appreciation for their culinary skills, but also his understanding of the tough times they were going through.""}, {'score': 0.0, 'sentence': 'This unusual tip became a beacon of hope amidst their difficulties.'}]","When you dine at a restaurant, it's customary to leave a tip, but one particular amount added to a takeout order left the restaurant staff in absolute astonishment. A regular customer of Luigi's Italian bistro, known only as Mr. Smith, left a staggering $1,000 tip for his modest $30 meal. The staff, who had been struggling due to the economic impact of the pandemic, were overjoyed. Mr. Smith's generous act not only showed his appreciation for their culinary skills, but also his understanding of the tough times they were going through. This unusual tip became a beacon of hope amidst their difficulties."
0.999999233370115,"[{'score': 0.9688507878908856, 'sentence': 'Less than two years ago, I was sitting at a South Atlantic League baseball game (Single-A, the lowest level of the minor leagues), enjoying the raw energy of young athletes striving to make a name for themselves in the higher leagues.'}, {'score': 0.8757247314795845, 'sentence': 'The stadium was filled with the aroma of popcorn and hot dogs, the cheers of the spectators echoing through the evening air.'}, {'score': 0.2425569308103649, 'sentence': 'There was a wonderful atmosphere of camaraderie among the spectators, sharing collective joy and anticipation.'}, {'score': 0.026301616768913072, 'sentence': 'Watching these young players, their passion and dedication were palpable.'}, {'score': 0.9613249425492234, 'sentence': 'It was a vivid reminder of the power of dreams and the determination required to pursue them.'}]","Less than two years ago, I was sitting at a South Atlantic League baseball game (Single-A, the lowest level of the minor leagues), enjoying the raw energy of young athletes striving to make a name for themselves in the higher leagues. The stadium was filled with the aroma of popcorn and hot dogs, the cheers of the spectators echoing through the evening air. There was a wonderful atmosphere of camaraderie among the spectators, sharing collective joy and anticipation. Watching these young players, their passion and dedication were palpable. It was a vivid reminder of the power of dreams and the determination required to pursue them."
0.9999992597604207,"[{'score': 0.00013173110075070937, 'sentence': 'On November 17, 2015, at 12:55 at night, Michael Höpner was supposed to give up the manners and habits of the streets of Manhattan.'}, {'score': 0.7507223405944224, 'sentence': 'We realized that we had found ourselves in a place where the hustle and bustle of high society had replaced peaceful silence.'}, {'score': 0.0004978273799446375, 'sentence': 'Michael Höpner, once a busy resident of New York, had now moved to a small town in the state of Vermont, exchanging skyscrapers for hills and car horns for birdsong.'}, {'score': 0.9460293122223239, 'sentence': 'The pace of life was slower, people were kinder, and the environment was more peaceful.'}, {'score': 0.2465221857647273, 'sentence': 'He was learning to adapt, to slow down, to breathe.'}, {'score': 0.7821135070659426, 'sentence': 'It was a completely new life, but Michael was ready to accept it with all his heart.'}]","On November 17, 2015, at 12:55 at night, Michael Höpner was supposed to give up the manners and habits of the streets of Manhattan. We realized that we had found ourselves in a place where the hustle and bustle of high society had replaced peaceful silence. Michael Höpner, once a busy resident of New York, had now moved to a small town in the state of Vermont, exchanging skyscrapers for hills and car horns for birdsong. The pace of life was slower, people were kinder, and the environment was more peaceful. He was learning to adapt, to slow down, to breathe. It was a completely new life, but Michael was ready to accept it with all his heart."
0.9999987255337126,"[{'score': 0.9965590310042447, 'sentence': 'A new study shows that more and more Americans will choose the Internet as their sole source of news instead of television, radio, or print newspapers.'}, {'score': 0.011364151415226398, 'sentence': 'The growing preference for online news sources reflects the digital age, in which information is available instantly and conveniently.'}, {'score': 0.024403692280993594, 'sentence': 'This shift also points to a demographic change, as younger generations rely more on the Internet for news.'}, {'score': 0.9274667806513248, 'sentence': 'However, it also raises questions about the reliability of online news, as it often remains unregulated and prone to disinformation.'}, {'score': 0.001254474988310994, 'sentence': 'This highlights the need for media literacy and critical thinking in the changing information landscape.'}]","A new study shows that more and more Americans will choose the Internet as their sole source of news instead of television, radio, or print newspapers. The growing preference for online news sources reflects the digital age, in which information is available instantly and conveniently. This shift also points to a demographic change, as younger generations rely more on the Internet for news. However, it also raises questions about the reliability of online news, as it often remains unregulated and prone to disinformation. This highlights the need for media literacy and critical thinking in the changing information landscape."
0.9999992428850533,"[{'score': 7.817074021421178e-08, 'sentence': 'The family sets out to a remote island in southern Chile.'}, {'score': 0.95024179468254, 'sentence': 'During their visit, they attempt to convince their grandmother and grandfather to leave their isolated home and move back to the city to be with them.'}, {'score': 3.1623543783609875e-09, 'sentence': 'The grandparents initially resist, cherishing their peaceful way of life and the memories they have created on the island.'}, {'score': 0.4417724866663125, 'sentence': 'However, the family presents the challenges associated with their advanced age, the benefits of modern conveniences, and the joy of being close to their grandchildren.'}, {'score': 0.014967712742703587, 'sentence': 'The grandparents are torn, struggling with the decision between the familiar comfort of their island home and the prospect of a supportive, family life in the city.'}]","The family sets out to a remote island in southern Chile. During their visit, they attempt to convince their grandmother and grandfather to leave their isolated home and move back to the city to be with them. The grandparents initially resist, cherishing their peaceful way of life and the memories they have created on the island. However, the family presents the challenges associated with their advanced age, the benefits of modern conveniences, and the joy of being close to their grandchildren. The grandparents are torn, struggling with the decision between the familiar comfort of their island home and the prospect of a supportive, family life in the city."
0.8853518463868764,"[{'score': 0.0, 'sentence': 'The company Mother New York instead of flowers or cards offers command privileges.'}, {'score': 0.0, 'sentence': 'The advertising agency Mother New York has launched a unique product: Momtract.'}, {'score': 0.0, 'sentence': 'This innovative idea, instead of traditional gifts such as flowers or cards, gives moms command privileges for the day.'}, {'score': 0.0020868240355911283, 'sentence': ""It's a fun, ironic approach to celebrating motherhood, allowing moms to truly enjoy the day, being in the driver's seat.""}, {'score': 3.204611186413686e-07, 'sentence': 'Momtract gives them the freedom to make decisions and take responsibility, providing a refreshing change from their usual daily duties.'}, {'score': 0.9375376829417269, 'sentence': ""It's a humorous, but sincere way to show appreciation for the hard work they do every day.""}]","The company Mother New York instead of flowers or cards offers command privileges. The advertising agency Mother New York has launched a unique product: Momtract. This innovative idea, instead of traditional gifts such as flowers or cards, gives moms command privileges for the day. It's a fun, ironic approach to celebrating motherhood, allowing moms to truly enjoy the day, being in the driver's seat. Momtract gives them the freedom to make decisions and take responsibility, providing a refreshing change from their usual daily duties. It's a humorous, but sincere way to show appreciation for the hard work they do every day."
0.9999982846553997,"[{'score': 9.094058839309582e-12, 'sentence': 'The ABC\'s television political discussion program ""Insiders"" is coming to Byron Bay.'}, {'score': 0.7870570967543783, 'sentence': 'Host Barrie Cassidy will lead a panel of experts in an in-depth discussion of the latest developments in Australian politics.'}, {'score': 0.0592698838245449, 'sentence': 'The panel will include prominent political analysts, journalists, and former politicians.'}, {'score': 0.9868962038871432, 'sentence': 'They will discuss topics such as climate change policies, the upcoming elections, and the general state of politics in Australia.'}, {'score': 0.9995279264962552, 'sentence': 'The audience will also have the opportunity to participate in the discussion, ask questions, and share their opinions.'}, {'score': 0.10290789148765289, 'sentence': 'This promises to be a thought-provoking and engaging evening program for anyone interested in Australian politics.'}]","The ABC's television political discussion program ""Insiders"" is coming to Byron Bay. Host Barrie Cassidy will lead a panel of experts in an in-depth discussion of the latest developments in Australian politics. The panel will include prominent political analysts, journalists, and former politicians. They will discuss topics such as climate change policies, the upcoming elections, and the general state of politics in Australia. The audience will also have the opportunity to participate in the discussion, ask questions, and share their opinions. This promises to be a thought-provoking and engaging evening program for anyone interested in Australian politics."
0.9999877464565029,"[{'score': 0.0, 'sentence': 'Washington, July 31, 2018 / 15:01 ( ).'}, {'score': 0.08613441598276683, 'sentence': '- The administration of transportation of the Washington metropolitan area has faced criticism for its recent decision to suspend work at late night hours, which, in the opinion of many, is disproportionately affecting low-wage workers who depend on public transportation.'}, {'score': 0.3609574719189106, 'sentence': 'Activists and community leaders have expressed their concerns, noting that many service industry, healthcare, and other sector workers often work non-traditional hours.'}, {'score': 0.0009568772131867131, 'sentence': 'They claim that reducing services will not only cause inconvenience, but also potentially jeopardize their employment.'}, {'score': 0.8852927583049462, 'sentence': 'The administration has not yet responded to these criticisms and is expected to review its decision.'}]","Washington, July 31, 2018 / 15:01 ( ). - The administration of transportation of the Washington metropolitan area has faced criticism for its recent decision to suspend work at late night hours, which, in the opinion of many, is disproportionately affecting low-wage workers who depend on public transportation. Activists and community leaders have expressed their concerns, noting that many service industry, healthcare, and other sector workers often work non-traditional hours. They claim that reducing services will not only cause inconvenience, but also potentially jeopardize their employment. The administration has not yet responded to these criticisms and is expected to review its decision."
0.9999991218705729,"[{'score': 0.0, 'sentence': 'Can drainage pipes resolve a compact conflict?'}, {'score': 2.389528575008626e-10, 'sentence': 'How can we get more water into the Republican River?'}, {'score': 1.6198153929281034e-11, 'sentence': 'Can it be as simple as installing drainage pipes?'}, {'score': 0.00026566737428046494, 'sentence': 'These questions have sparked debate among environmentalists, engineers, and local authorities.'}, {'score': 0.00038522723121814373, 'sentence': 'Drainage pipes, unlike traditional irrigation methods, potentially can redirect water to areas where it is most needed, thus reducing conflicts over water rights.'}, {'score': 0.0005381676789065759, 'sentence': 'However, the implementation and environmental impact of this solution still require study.'}, {'score': 0.9884341232834988, 'sentence': 'The challenge is to provide a sustainable solution that respects the ecosystem and the rights of all parties involved.'}]","Can drainage pipes resolve a compact conflict? How can we get more water into the Republican River? Can it be as simple as installing drainage pipes? These questions have sparked debate among environmentalists, engineers, and local authorities. Drainage pipes, unlike traditional irrigation methods, potentially can redirect water to areas where it is most needed, thus reducing conflicts over water rights. However, the implementation and environmental impact of this solution still require study. The challenge is to provide a sustainable solution that respects the ecosystem and the rights of all parties involved."
