score,sentence_scores,text,error
0.9999989020547292,"[{'score': 0.28840759731440924, 'sentence': 'The new season of New Girl is about to return, and our main characters are all in very interesting positions in their relationships.'}, {'score': 0.0, 'sentence': 'Cece and Schmidt have finally gotten married.'}, {'score': 0.0, 'sentence': 'Nick is in a new relationship with Reagan, and Winston is basically with Ally.'}, {'score': 0.9991783671816767, 'sentence': 'So, what should you expect?'}, {'score': 0.9972541803947782, 'sentence': ""Here are six things we're really looking forward to.""}, {'score': 0.9999835688992738, 'sentence': '1.'}, {'score': 1.549991290872299e-08, 'sentence': ""We'll be seeing more of Reagan.""}, {'score': 0.971706292113371, 'sentence': ""If you enjoyed Megan Fox's guest appearance on New Girl last season, then you should be thrilled that she's returning.""}]","The new season of New Girl is about to return, and our main characters are all in very interesting positions in their relationships. Cece and Schmidt have finally gotten married. Nick is in a new relationship with Reagan, and Winston is basically with Ally. So, what should you expect? Here are six things we're really looking forward to. 1. We'll be seeing more of Reagan. If you enjoyed Megan Fox's guest appearance on New Girl last season, then you should be thrilled that she's returning.",
0.004649713294196722,"[{'score': 0.9983820711939944, 'sentence': 'Singer-turned-actor Kim Hyun-joong is considering a return to the small screen, his agency said on Tuesday.'}, {'score': 0.010975942738945088, 'sentence': 'According to KeyEast Entertainment, Kim recently received an offer to star in the upcoming 12-episode fantasy romance drama ""When Time Stops,"" in which he would play a time traveler living a solitary life.'}, {'score': 8.961376626315243e-07, 'sentence': 'KeyEast said Kim has not yet decided whether to accept the offer.'}, {'score': 6.460565415977726e-11, 'sentence': 'His last screen appearance was in the 2014 drama ""Inspiring Generation.""'}, {'score': 0.0003257717063109844, 'sentence': 'As a former member of idol group SS501, Kim released a single in November and held fan meetings and concerts.'}, {'score': 0.0038535803153141313, 'sentence': 'He also recently renewed his contract with his agency.'}]","Singer-turned-actor Kim Hyun-joong is considering a return to the small screen, his agency said on Tuesday. According to KeyEast Entertainment, Kim recently received an offer to star in the upcoming 12-episode fantasy romance drama ""When Time Stops,"" in which he would play a time traveler living a solitary life. KeyEast said Kim has not yet decided whether to accept the offer. His last screen appearance was in the 2014 drama ""Inspiring Generation."" As a former member of idol group SS501, Kim released a single in November and held fan meetings and concerts. He also recently renewed his contract with his agency.",
0.9999865527559166,"[{'score': 5.883622198332716e-07, 'sentence': 'As part of the LifeMedGreenRoof project, the Standardization Directorate within the Malta Competition and Consumer Affairs Authority (MCCAA) hosted the second workshop to launch a public consultation on the Draft National Green Roof Standard.'}, {'score': 0.9946828061928654, 'sentence': ""As part of the EU 2020 Strategy, which aims to reduce energy demands by at least 20% by 2020, the European Commission's 2011 Energy Efficiency Plan identified buildings as having the greatest potential for energy savings.""}, {'score': 0.0020103583931814217, 'sentence': 'The plan focuses on mechanisms to reduce energy demands of existing buildings (especially public buildings) and the role of projects in promoting the introduction of energy efficiency measures.'}, {'score': 0.21331779483357804, 'sentence': ""The European Commission's plan aims to achieve the 2020 Strategy's objectives of reducing energy consumption and promoting sustainable development.""}, {'score': 1.2489898004730549e-09, 'sentence': ""The workshop hosted by the MCCAA's Standardization Directorate is part of this goal, aiming to reduce energy demands of buildings and promote sustainable development in Malta through the promotion of green roof technologies.""}]","As part of the LifeMedGreenRoof project, the Standardization Directorate within the Malta Competition and Consumer Affairs Authority (MCCAA) hosted the second workshop to launch a public consultation on the Draft National Green Roof Standard. As part of the EU 2020 Strategy, which aims to reduce energy demands by at least 20% by 2020, the European Commission's 2011 Energy Efficiency Plan identified buildings as having the greatest potential for energy savings. The plan focuses on mechanisms to reduce energy demands of existing buildings (especially public buildings) and the role of projects in promoting the introduction of energy efficiency measures. The European Commission's plan aims to achieve the 2020 Strategy's objectives of reducing energy consumption and promoting sustainable development. The workshop hosted by the MCCAA's Standardization Directorate is part of this goal, aiming to reduce energy demands of buildings and promote sustainable development in Malta through the promotion of green roof technologies.",
0.9976354330637142,"[{'score': 1.9810862461611123e-07, 'sentence': 'Voter scams have been confirmed in multiple states, including Mississippi.'}, {'score': 0.7640144506002177, 'sentence': ""Louisiana's top election official is warning residents about a potential scam aimed at getting sensitive information from potential voters, after similar concerns arose in several other states.""}, {'score': 1.3890866395249724e-05, 'sentence': 'The scam involves a caller claiming to work for a voter registration assistance organization.'}, {'score': 0.008958717821411222, 'sentence': 'The callers offer to register residents over the phone and, in some cases, send absentee ballots to voters, Secretary of State Kyle Ardoin said.'}, {'score': 0.998666528436182, 'sentence': 'Under state law, residents cannot register to vote or request an absentee ballot over the phone.'}]","Voter scams have been confirmed in multiple states, including Mississippi. Louisiana's top election official is warning residents about a potential scam aimed at getting sensitive information from potential voters, after similar concerns arose in several other states. The scam involves a caller claiming to work for a voter registration assistance organization. The callers offer to register residents over the phone and, in some cases, send absentee ballots to voters, Secretary of State Kyle Ardoin said. Under state law, residents cannot register to vote or request an absentee ballot over the phone.",
0.9999988489501542,"[{'score': 0.9887650098191326, 'sentence': 'For small businesses that operate on a credit basis, accounts receivable can make up a large portion of the balance sheet.'}, {'score': 0.09797594448323177, 'sentence': 'During the annual audit, the auditor will verify that your claims about the accounts receivable balance can be substantiated.'}, {'score': 0.0, 'sentence': 'These claims are called assertions.'}, {'score': 0.005820478303298238, 'sentence': 'The most common audit procedure related to accounts receivable is confirmation, in which the auditor will ask your customers to confirm their account balances.'}, {'score': 4.812255038899593e-10, 'sentence': 'Understanding which assertions can be substantiated through confirmation can help you understand why your auditor may require multiple audit procedures for the same account.'}, {'score': 0.0, 'sentence': 'Accounts receivable confirmation is primarily used to substantiate the existence assertion.'}]","For small businesses that operate on a credit basis, accounts receivable can make up a large portion of the balance sheet. During the annual audit, the auditor will verify that your claims about the accounts receivable balance can be substantiated. These claims are called assertions. The most common audit procedure related to accounts receivable is confirmation, in which the auditor will ask your customers to confirm their account balances. Understanding which assertions can be substantiated through confirmation can help you understand why your auditor may require multiple audit procedures for the same account. Accounts receivable confirmation is primarily used to substantiate the existence assertion.",
0.99997554806848,"[{'score': 0.006242347680418092, 'sentence': ""It's a relief not to have to be Jim Furyk today.""}, {'score': 0.9999835688992738, 'sentence': '1.'}, {'score': 0.7304618990491107, 'sentence': 'The U.S. team entered Sunday with a whopping four-point lead in the Ryder Cup, and the home crowd was expecting to enjoy another day of dominant performances.'}, {'score': 0.9999741540893661, 'sentence': '2.'}, {'score': 0.9282882720653252, 'sentence': 'Luke Donald beat Bubba Watson in the first match of the day, making the score 10-7, but the U.S. still had a huge lead.'}, {'score': 0.0, 'sentence': 'Whatever.'}, {'score': 0.9999687903958526, 'sentence': '3.'}, {'score': 0.0, 'sentence': ""Europe's Paul Lawrie thoroughly defeated Brandt Snedeker to pick up another point for Europe.""}, {'score': 0.9999658053760866, 'sentence': '4.'}, {'score': 0.9959643169502643, 'sentence': 'At least Keegan Bradley, the best U.S. player all weekend, was able to go toe-to-toe with Rory McIlroy.'}]","It's a relief not to have to be Jim Furyk today. 1. The U.S. team entered Sunday with a whopping four-point lead in the Ryder Cup, and the home crowd was expecting to enjoy another day of dominant performances. 2. Luke Donald beat Bubba Watson in the first match of the day, making the score 10-7, but the U.S. still had a huge lead. Whatever. 3. Europe's Paul Lawrie thoroughly defeated Brandt Snedeker to pick up another point for Europe. 4. At least Keegan Bradley, the best U.S. player all weekend, was able to go toe-to-toe with Rory McIlroy.",
0.9999986078059854,"[{'score': 0.9829969425108591, 'sentence': ""This kind of thing often happens: you press the snooze button on your alarm clock once, twice, or even three times, so when you finally finish washing up, get dressed, and are ready to face the new day, you're already lagging behind schedule.""}, {'score': 5.986643625277566e-09, 'sentence': 'Usually, this results in you completely skipping breakfast.'}, {'score': 4.668717350542195e-05, 'sentence': ""It turns out that your breakfast habits are a time-saving method that shouldn't be neglected.""}, {'score': 0.9950559426363551, 'sentence': 'Firstly, eating a nutritious, high-protein, balanced breakfast every morning has been proven to be an effective way to activate your brain, improve focus, and performance.'}, {'score': 0.9990104419467059, 'sentence': 'Additionally, eating breakfast is also associated with better weight control, as it provides energy for your body and may reduce hunger later in the day.'}]","This kind of thing often happens: you press the snooze button on your alarm clock once, twice, or even three times, so when you finally finish washing up, get dressed, and are ready to face the new day, you're already lagging behind schedule. Usually, this results in you completely skipping breakfast. It turns out that your breakfast habits are a time-saving method that shouldn't be neglected. Firstly, eating a nutritious, high-protein, balanced breakfast every morning has been proven to be an effective way to activate your brain, improve focus, and performance. Additionally, eating breakfast is also associated with better weight control, as it provides energy for your body and may reduce hunger later in the day.",
0.9999211598758476,"[{'score': 0.9999962733607158, 'sentence': ""Dublin: Lawmakers voted overwhelmingly on Friday to support Ireland's first abortion bill, allowing terminations in exceptional circumstances where the woman's life is deemed to be at risk from pregnancy, marking a significant step for this predominantly Catholic country away from its total ban on abortion.""}, {'score': 1.6261509779957883e-05, 'sentence': 'Exhausted lawmakers applauded the 127-31 vote result on Friday, while outside the parliament gates, abortion rights activists cheered as they watched the result on their phones.'}, {'score': 0.906850276622586, 'sentence': 'The vote ended a grueling debate that began on Wednesday morning and ran until 5am on Thursday, resumed after a brief break, and continued until midnight on Friday.'}, {'score': 0.010225874450407235, 'sentence': 'Lawmakers finally passed the bill, which will permit abortions in exceptional circumstances.'}]","Dublin: Lawmakers voted overwhelmingly on Friday to support Ireland's first abortion bill, allowing terminations in exceptional circumstances where the woman's life is deemed to be at risk from pregnancy, marking a significant step for this predominantly Catholic country away from its total ban on abortion. Exhausted lawmakers applauded the 127-31 vote result on Friday, while outside the parliament gates, abortion rights activists cheered as they watched the result on their phones. The vote ended a grueling debate that began on Wednesday morning and ran until 5am on Thursday, resumed after a brief break, and continued until midnight on Friday. Lawmakers finally passed the bill, which will permit abortions in exceptional circumstances.",
0.9805871195026806,"[{'score': 0.7606468328596274, 'sentence': 'The best Halloween costumes are inspired by the most unforgettable moments of the year, and 2016 was certainly a year to remember.'}, {'score': 3.920535748969112e-05, 'sentence': 'We experienced the Summer Olympics and the US Presidential Election, two events that dominate the headlines (and Facebook timelines!) every four years.'}, {'score': 2.3739781639386948e-06, 'sentence': ""Add to that Beyoncé's visual album masterpiece, the Pokémon Go phenomenon, and the colorful, quotable chaos of Suicide Squad, and 2016 was basically begging for a Halloween costume extravaganza.""}, {'score': 4.669822306624383e-10, 'sentence': ""We've become experts in all things Halloween - creating over a billion page views worth of Halloween content.""}, {'score': 0.9539666420428944, 'sentence': 'This is our moment to shine.'}]","The best Halloween costumes are inspired by the most unforgettable moments of the year, and 2016 was certainly a year to remember. We experienced the Summer Olympics and the US Presidential Election, two events that dominate the headlines (and Facebook timelines!) every four years. Add to that Beyoncé's visual album masterpiece, the Pokémon Go phenomenon, and the colorful, quotable chaos of Suicide Squad, and 2016 was basically begging for a Halloween costume extravaganza. We've become experts in all things Halloween - creating over a billion page views worth of Halloween content. This is our moment to shine.",
0.99999302520339,"[{'score': 7.2528948180661246e-06, 'sentence': 'Randy Pausch died last Friday.'}, {'score': 0.9325744219244714, 'sentence': 'He was a professor at Carnegie Mellon University, and his ""Last Lecture"" became an internet sensation, inspiring a best-selling book and two Diane Sawyer TV specials.'}, {'score': 0.5580990983237031, 'sentence': 'Have you seen the ""Last Lecture"" or read the book?'}, {'score': 0.0003246258260606316, 'sentence': 'Have you seen these TV specials?'}, {'score': 0.999964007651747, 'sentence': 'What do you think?'}, {'score': 0.9999320174099546, 'sentence': 'Leave a comment and let us know.'}, {'score': 7.2528948180661246e-06, 'sentence': 'Randy Pausch died last Friday.'}, {'score': 0.9325744219244714, 'sentence': 'He was a professor at Carnegie Mellon University, and his ""Last Lecture"" became an internet sensation, inspiring a best-selling book and two Diane Sawyer TV specials.'}, {'score': 0.5580990983237031, 'sentence': 'Have you seen the ""Last Lecture"" or read the book?'}]","Randy Pausch died last Friday. He was a professor at Carnegie Mellon University, and his ""Last Lecture"" became an internet sensation, inspiring a best-selling book and two Diane Sawyer TV specials. Have you seen the ""Last Lecture"" or read the book? Have you seen these TV specials? What do you think? Leave a comment and let us know. Randy Pausch died last Friday. He was a professor at Carnegie Mellon University, and his ""Last Lecture"" became an internet sensation, inspiring a best-selling book and two Diane Sawyer TV specials. Have you seen the ""Last Lecture"" or read the book?",
